transaction_id,date,merchant,amount,customer_name,customer_email,card_number,city,state,zip,account_id
tx_100000,2024-12-24,STARBUCKS,35.83,Jordan Johnson,jordan.johnson10@gmail.com,1259753726278340,Denver,FL,91543,acct_7178
tx_100001,2025-07-02,TARGET,68.6,Ryan Brown,ryan.brown79@yahoo.com,3919791622586757,Portland,WA,23373,acct_5460
tx_100002,2025-08-04,COSTCO,33.28,Sam Patel,sam.patel47@yahoo.com,1755108097937059,Denver,FL,58547,acct_8102
tx_100003,2025-02-13,LYFT,57.96,Taylor Smith,taylor.smith46@yahoo.com,0607507081603000,Miami,TX,30418,acct_4781
tx_100004,2025-05-10,WALMART,42.19,Sam Johnson,sam.johnson18@outlook.com,9023667841221339,Miami,TX,41825,acct_4392
tx_100005,2025-03-26,TARGET,44.94,Ryan Brown,ryan.brown74@yahoo.com,3559294891633355,Austin,TX,69626,acct_4438
tx_100006,2024-11-08,STARBUCKS,90.72,Taylor Johnson,taylor.johnson74@gmail.com,9564384254548314,Denver,WA,97102,acct_5043
tx_100007,2025-06-05,TARGET,45.07,Ryan Garcia,ryan.garcia85@outlook.com,0944739147145962,Seattle,TX,61727,acct_1010
tx_100008,2025-04-08,STARBUCKS,84.55,Casey Lee,casey.lee38@yahoo.com,2751012936347057,Portland,TX,49583,acct_1134
tx_100009,2025-07-15,COSTCO,74.09,Jordan Garcia,jordan.garcia79@outlook.com,5174514893494016,Denver,OR,11025,acct_2833
tx_100010,2024-11-01,LYFT,20.26,Riley Davis,riley.davis40@outlook.com,7732141756638762,Denver,FL,52446,acct_5024
tx_100011,2024-12-20,TARGET,18.06,Sam Garcia,sam.garcia6@gmail.com,4842367844018917,Seattle,CO,62528,acct_3052
tx_100012,2025-06-19,TARGET,88.16,Sam Davis,sam.davis91@yahoo.com,8699482276208492,Austin,CO,10003,acct_4049
tx_100013,2025-02-17,AMAZON,47.19,Jordan Patel,jordan.patel40@gmail.com,0037989815884256,Portland,OR,37948,acct_9208
tx_100014,2025-02-15,TARGET,34.13,Avery Lee,avery.lee33@yahoo.com,0303764030274885,Seattle,FL,63724,acct_7756
tx_100015,2025-03-16,LYFT,32.55,Taylor Kim,taylor.kim87@outlook.com,5427080321408574,Denver,FL,25945,acct_2623
tx_100016,2024-08-15,WALMART,11.31,Riley Davis,riley.davis68@yahoo.com,2463782226563911,Denver,WA,57227,acct_2601
tx_100017,2025-05-20,WALMART,57.02,Ryan Smith,ryan.smith14@gmail.com,5823359013674233,Miami,OR,32352,acct_6106
tx_100018,2024-10-19,UBER,84.47,Alex Kim,alex.kim72@yahoo.com,0644477921615331,Portland,TX,87521,acct_3202
tx_100019,2024-12-17,LYFT,63.06,Ryan Smith,ryan.smith52@yahoo.com,7582178150467536,Seattle,OR,99908,acct_9811
tx_100020,2025-07-17,AMAZON,72.44,Ryan Johnson,ryan.johnson5@yahoo.com,0335354253320999,Miami,TX,58732,acct_7656
tx_100021,2025-01-07,LYFT,46.38,Ryan Kim,ryan.kim65@yahoo.com,7884637711619417,Portland,CO,89540,acct_2110
tx_100022,2024-08-19,AMAZON,51.53,Alex Brown,alex.brown3@gmail.com,8562836209760384,Miami,TX,37901,acct_7077
tx_100023,2025-04-30,AMAZON,78.7,Ryan Kim,ryan.kim42@outlook.com,6010016398659953,Miami,TX,41292,acct_1989
tx_100024,2024-10-09,LYFT,28.86,Jordan Patel,jordan.patel99@yahoo.com,7419624795341101,Seattle,WA,91838,acct_9482
tx_100025,2025-04-24,BESTBUY,35.01,Ryan Kim,ryan.kim99@yahoo.com,2461788377771177,Portland,CO,42437,acct_5290
tx_100026,2025-04-27,STARBUCKS,25.17,Casey Patel,casey.patel71@gmail.com,9486669548950546,Denver,CO,92402,acct_3922
tx_100027,2025-07-30,BESTBUY,73.52,Ryan Patel,ryan.patel6@outlook.com,5979171636463724,Austin,TX,40013,acct_6333
tx_100028,2024-09-13,TARGET,39.06,Riley Smith,riley.smith52@gmail.com,3345974985409666,Denver,FL,82993,acct_3550
tx_100029,2024-10-24,STARBUCKS,31.14,Taylor Brown,taylor.brown71@yahoo.com,3363701108197934,Portland,FL,24370,acct_4225
tx_100030,2025-03-25,TARGET,15.56,Sam Garcia,sam.garcia32@gmail.com,3108064361938241,Austin,TX,15983,acct_1585
tx_100031,2025-05-23,TARGET,53.29,Avery Davis,avery.davis61@gmail.com,0179971691274840,Denver,TX,93804,acct_2474
tx_100032,2025-01-06,TARGET,25.43,Sam Johnson,sam.johnson16@outlook.com,3762187039308733,Austin,FL,48224,acct_5789
tx_100033,2024-08-19,COSTCO,46.82,Ryan Davis,ryan.davis34@outlook.com,2123680322729891,Austin,TX,30335,acct_6902
tx_100034,2025-08-04,BESTBUY,113.52,Alex Kim,alex.kim7@outlook.com,2810470346894656,Seattle,WA,13482,acct_3277
tx_100035,2025-05-08,BESTBUY,68.73,Alex Kim,alex.kim89@gmail.com,1916066425801231,Denver,WA,46021,acct_6482
