transaction_id,date,merchant,amount,customer_name,customer_email,card_number,city,state,zip,account_id
tx_100000,2024-12-24,STARBUCKS,35.83,<PII:customer_name:GCDRBTgX8ISpTWjd>,<PII:customer_email:T2J6czlIBOxoELjx>,************8340,Denver,FL,91543,<PII:account_id:jeowZkk0LMRTvO-9>
tx_100001,2025-07-02,TARGET,68.6,<PII:customer_name:0onSX9nlkEIp8a0c>,<PII:customer_email:cxH3AEXyXQ5UQ0EB>,************6757,Portland,WA,23373,<PII:account_id:Wa3nijGMJjWrN5ZP>
tx_100002,2025-08-04,COSTCO,33.28,<PII:customer_name:8xmPXIGPZyCpg7PJ>,<PII:customer_email:9GBRW33sp-LAL7kh>,************7059,Denver,FL,58547,<PII:account_id:aUtY7QoTCPiOAzN3>
tx_100003,2025-02-13,LYFT,57.96,<PII:customer_name:u_zQ-yZKVcXDIgQF>,<PII:customer_email:HEG8q93YJXDbFXci>,***********3000,Miami,TX,30418,<PII:account_id:BU-sBgHgZWGFyANC>
tx_100004,2025-05-10,WALMART,42.19,<PII:customer_name:w618MYbH_Ng6QdDC>,<PII:customer_email:QNRINSQ6Mva22CW2>,************1339,Miami,TX,41825,<PII:account_id:dwxKaQlK40gb-MVD>
tx_100005,2025-03-26,TARGET,44.94,<PII:customer_name:0onSX9nlkEIp8a0c>,<PII:customer_email:EYVNoKczE9KcB9Vp>,************3355,Austin,TX,69626,<PII:account_id:5VCZUmLYxbeppMQ6>
tx_100006,2024-11-08,STARBUCKS,90.72,<PII:customer_name:dO1GI-_1ogXFAHYi>,<PII:customer_email:eLnXkI0b7iTjHs3S>,************8314,Denver,WA,97102,<PII:account_id:KORgXMHe_fqiQGEY>
tx_100007,2025-06-05,TARGET,45.07,<PII:customer_name:rZRvLTykmptCYS5X>,<PII:customer_email:pV3Y4RXQEfgyCI2K>,***********5962,Seattle,TX,61727,<PII:account_id:lGX_zMcdtQE4-5lq>
tx_100008,2025-04-08,STARBUCKS,84.55,<PII:customer_name:XJVR3NOf7J0ddToL>,<PII:customer_email:ZXkRKzgNkm662CIH>,************7057,Portland,TX,49583,<PII:account_id:ZRV-vGGX_pOkjl7I>
tx_100009,2025-07-15,COSTCO,74.09,<PII:customer_name:6JJcXn2r6FWvTAMe>,<PII:customer_email:XVFz6BH1JwOCQqYp>,************4016,Denver,OR,11025,<PII:account_id:Ctm2m6-ogbZb5xeG>
tx_100010,2024-11-01,LYFT,20.26,<PII:customer_name:cv67DkHno1xzLNGd>,<PII:customer_email:J5QjZfMGhmEsf7ep>,************8762,Denver,FL,52446,<PII:account_id:_e_DmNf5LyqCLHww>
tx_100011,2024-12-20,TARGET,18.06,<PII:customer_name:7R0JqJmHIGmCzIe->,<PII:customer_email:xgrEhXEZOtwtorfW>,************8917,Seattle,CO,62528,<PII:account_id:JK2kIUJr9yCsLjKL>
tx_100012,2025-06-19,TARGET,88.16,<PII:customer_name:BcRgLMUAJvyxVo-N>,<PII:customer_email:Nssk9ojfA99YpouK>,************8492,Austin,CO,10003,<PII:account_id:qTLtZyn9-FxFtUld>
tx_100013,2025-02-17,AMAZON,47.19,<PII:customer_name:4lEh4IQUBNzAXDKY>,<PII:customer_email:zOtmp1gwoSD5k-dc>,**********4256,Portland,OR,37948,<PII:account_id:_gC3flgHW9ii5R8e>
tx_100014,2025-02-15,TARGET,34.13,<PII:customer_name:iWoRB5zHc2WHN4Av>,<PII:customer_email:Xtl1Jj-cL8hJgvRe>,***********4885,Seattle,FL,63724,<PII:account_id:Qh0VdU_P7DtXeaJD>
tx_100015,2025-03-16,LYFT,32.55,<PII:customer_name:a-NIv1jAKr4e-iwK>,<PII:customer_email:eymq_85sHH6It-YI>,************8574,Denver,FL,25945,<PII:account_id:NVt-3iY91iWsPyzP>
tx_100016,2024-08-15,WALMART,11.31,<PII:customer_name:cv67DkHno1xzLNGd>,<PII:customer_email:slVwWlSsVEBYidmp>,************3911,Denver,WA,57227,<PII:account_id:bwOzfbrlXI33_P4j>
tx_100017,2025-05-20,WALMART,57.02,<PII:customer_name:Ss6tVLYaGULn20s9>,<PII:customer_email:fKW9Nk3T_vnyHtJO>,************4233,Miami,OR,32352,<PII:account_id:SXFnFhZ8CU06dx2s>
tx_100018,2024-10-19,UBER,84.47,<PII:customer_name:M9AYzlptbwhCE7IU>,<PII:customer_email:6dOt2elAz-KkCKRB>,***********5331,Portland,TX,87521,<PII:account_id:zNXkSBm-t5kVtMAh>
tx_100019,2024-12-17,LYFT,63.06,<PII:customer_name:Ss6tVLYaGULn20s9>,<PII:customer_email:ce5UGyv95gjSf8L4>,************7536,Seattle,OR,99908,<PII:account_id:Nhd1QTNRJuJQSCtf>
tx_100020,2025-07-17,AMAZON,72.44,<PII:customer_name:UAvlETDd4U0--aVv>,<PII:customer_email:uzBwHBbzoz_rNaTS>,***********0999,Miami,TX,58732,<PII:account_id:qvkZgaAdwGxR3Arp>
tx_100021,2025-01-07,LYFT,46.38,<PII:customer_name:GWSPtZAhITy5nk_o>,<PII:customer_email:60FhOIjhpw3unnkZ>,************9417,Portland,CO,89540,<PII:account_id:Ps2H-_Kzh9X_qGcm>
tx_100022,2024-08-19,AMAZON,51.53,<PII:customer_name:J5KX7FfkyyC3fACw>,<PII:customer_email:Gbx6YWf4Cgy6vSsn>,************0384,Miami,TX,37901,<PII:account_id:BxNRxFobSOvtBUZZ>
tx_100023,2025-04-30,AMAZON,78.7,<PII:customer_name:GWSPtZAhITy5nk_o>,<PII:customer_email:pypomfZM0fP-kNEQ>,************9953,Miami,TX,41292,<PII:account_id:zhim6-zuxjd2ai8o>
